snapshot date,snapshot timestamp,event id,event name,event datetime,venue,listings counted,low price,median price,high price,currency,stubhub url,median method
20260228,2026-02-28 11:05:06 EST,158891615,Big Ten Women's Basketball Tournament - Session 7,2026-03-08T14:15:00,Gainbridge Fieldhouse,246,43.39,82.90,1138.10,USD,https://www.stubhub.com/big-ten-women-s-basketball-tournament-indianapolis-tickets-3-8-2026/event/158891615/,histogram-weighted-midpoint
20260228,2026-02-28 13:05:28 EST,158891615,Big Ten Women's Basketball Tournament - Session 7,2026-03-08T14:15:00,Gainbridge Fieldhouse,246,43.39,82.90,1138.10,USD,https://www.stubhub.com/big-ten-women-s-basketball-tournament-indianapolis-tickets-3-8-2026/event/158891615/,histogram-weighted-midpoint
20260228,2026-02-28 15:04:24 EST,158891615,Big Ten Women's Basketball Tournament - Session 7,2026-03-08T14:15:00,Gainbridge Fieldhouse,244,43.07,82.94,1129.30,USD,https://www.stubhub.com/big-ten-women-s-basketball-tournament-indianapolis-tickets-3-8-2026/event/158891615/,histogram-weighted-midpoint
20260228,2026-02-28 17:04:05 EST,158891615,Big Ten Women's Basketball Tournament - Session 7,2026-03-08T14:15:00,Gainbridge Fieldhouse,244,43.39,82.90,1138.10,USD,https://www.stubhub.com/big-ten-women-s-basketball-tournament-indianapolis-tickets-3-8-2026/event/158891615/,histogram-weighted-midpoint
20260228,2026-02-28 19:21:32 EST,158891615,Big Ten Women's Basketball Tournament - Session 7,2026-03-08T14:15:00,Gainbridge Fieldhouse,246,43.39,82.90,1138.10,USD,https://www.stubhub.com/big-ten-women-s-basketball-tournament-indianapolis-tickets-3-8-2026/event/158891615/,histogram-weighted-midpoint
20260228,2026-02-28 22:03:11 EST,158891615,Big Ten Women's Basketball Tournament - Session 7,2026-03-08T14:15:00,Gainbridge Fieldhouse,246,43.39,82.90,1138.10,USD,https://www.stubhub.com/big-ten-women-s-basketball-tournament-indianapolis-tickets-3-8-2026/event/158891615/,histogram-weighted-midpoint
20260228,2026-02-28 23:38:53 EST,158891615,Big Ten Women's Basketball Tournament - Session 7,2026-03-08T14:15:00,Gainbridge Fieldhouse,246,43.07,82.94,1129.30,USD,https://www.stubhub.com/big-ten-women-s-basketball-tournament-indianapolis-tickets-3-8-2026/event/158891615/,histogram-weighted-midpoint
20260301,2026-03-01 01:14:50 EST,158891615,Big Ten Women's Basketball Tournament - Session 7,2026-03-08T14:15:00,Gainbridge Fieldhouse,245,43.39,82.90,1138.10,USD,https://www.stubhub.com/big-ten-women-s-basketball-tournament-indianapolis-tickets-3-8-2026/event/158891615/,histogram-weighted-midpoint
20260301,2026-03-01 03:06:29 EST,158891615,Big Ten Women's Basketball Tournament - Session 7,2026-03-08T14:15:00,Gainbridge Fieldhouse,247,43.39,82.90,1138.10,USD,https://www.stubhub.com/big-ten-women-s-basketball-tournament-indianapolis-tickets-3-8-2026/event/158891615/,histogram-weighted-midpoint
20260301,2026-03-01 05:05:18 EST,158891615,Big Ten Women's Basketball Tournament - Session 7,2026-03-08T14:15:00,Gainbridge Fieldhouse,247,43.39,82.90,1138.10,USD,https://www.stubhub.com/big-ten-women-s-basketball-tournament-indianapolis-tickets-3-8-2026/event/158891615/,histogram-weighted-midpoint
20260301,2026-03-01 07:07:12 EST,158891615,Big Ten Women's Basketball Tournament - Session 7,2026-03-08T14:15:00,Gainbridge Fieldhouse,296,43.39,82.90,1138.10,USD,https://www.stubhub.com/big-ten-women-s-basketball-tournament-indianapolis-tickets-3-8-2026/event/158891615/,histogram-weighted-midpoint
20260301,2026-03-01 09:05:33 EST,158891615,Big Ten Women's Basketball Tournament - Session 7,2026-03-08T14:15:00,Gainbridge Fieldhouse,196,43.39,82.90,744.86,USD,https://www.stubhub.com/big-ten-women-s-basketball-tournament-indianapolis-tickets-3-8-2026/event/158891615/,histogram-weighted-midpoint
20260301,2026-03-01 11:04:57 EST,158891615,Big Ten Women's Basketball Tournament - Session 7,2026-03-08T14:15:00,Gainbridge Fieldhouse,185,43.39,82.90,744.86,USD,https://www.stubhub.com/big-ten-women-s-basketball-tournament-indianapolis-tickets-3-8-2026/event/158891615/,histogram-weighted-midpoint
20260301,2026-03-01 13:05:42 EST,158891615,Big Ten Women's Basketball Tournament - Session 7,2026-03-08T14:15:00,Gainbridge Fieldhouse,193,43.39,82.90,744.86,USD,https://www.stubhub.com/big-ten-women-s-basketball-tournament-indianapolis-tickets-3-8-2026/event/158891615/,histogram-weighted-midpoint
20260301,2026-03-01 15:04:36 EST,158891615,Big Ten Women's Basketball Tournament - Session 7,2026-03-08T14:15:00,Gainbridge Fieldhouse,191,43.39,82.90,744.86,USD,https://www.stubhub.com/big-ten-women-s-basketball-tournament-indianapolis-tickets-3-8-2026/event/158891615/,histogram-weighted-midpoint
